
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1543           0.0.0.0:0              LISTENING       20904
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       8748
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5700           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:6459           0.0.0.0:0              LISTENING       14804
  TCP    0.0.0.0:6468           0.0.0.0:0              LISTENING       1716
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       18740
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING       1716
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING       14804
  TCP    0.0.0.0:8099           0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:9012           0.0.0.0:0              LISTENING       18796
  TCP    0.0.0.0:9200           0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:9300           0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:35729          0.0.0.0:0              LISTENING       14804
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1080
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       852
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2056
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2092
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4976
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       1272
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       1052
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING       20904
  TCP    127.0.0.1:4200         0.0.0.0:0              LISTENING       23272
  TCP    127.0.0.1:4200         127.0.0.1:6729         ESTABLISHED     23272
  TCP    127.0.0.1:5101         127.0.0.1:5102         ESTABLISHED     10828
  TCP    127.0.0.1:5102         127.0.0.1:5101         ESTABLISHED     10828
  TCP    127.0.0.1:5103         127.0.0.1:5104         ESTABLISHED     10828
  TCP    127.0.0.1:5104         127.0.0.1:5103         ESTABLISHED     10828
  TCP    127.0.0.1:5105         127.0.0.1:5106         ESTABLISHED     10828
  TCP    127.0.0.1:5106         127.0.0.1:5105         ESTABLISHED     10828
  TCP    127.0.0.1:5107         127.0.0.1:5108         ESTABLISHED     10828
  TCP    127.0.0.1:5108         127.0.0.1:5107         ESTABLISHED     10828
  TCP    127.0.0.1:5109         127.0.0.1:5110         ESTABLISHED     10828
  TCP    127.0.0.1:5110         127.0.0.1:5109         ESTABLISHED     10828
  TCP    127.0.0.1:5111         127.0.0.1:5112         ESTABLISHED     10828
  TCP    127.0.0.1:5112         127.0.0.1:5111         ESTABLISHED     10828
  TCP    127.0.0.1:5113         127.0.0.1:5114         ESTABLISHED     10828
  TCP    127.0.0.1:5114         127.0.0.1:5113         ESTABLISHED     10828
  TCP    127.0.0.1:5115         127.0.0.1:5116         ESTABLISHED     10828
  TCP    127.0.0.1:5116         127.0.0.1:5115         ESTABLISHED     10828
  TCP    127.0.0.1:5117         127.0.0.1:5118         ESTABLISHED     10828
  TCP    127.0.0.1:5118         127.0.0.1:5117         ESTABLISHED     10828
  TCP    127.0.0.1:5119         127.0.0.1:5120         ESTABLISHED     10828
  TCP    127.0.0.1:5120         127.0.0.1:5119         ESTABLISHED     10828
  TCP    127.0.0.1:5121         127.0.0.1:5122         ESTABLISHED     10828
  TCP    127.0.0.1:5122         127.0.0.1:5121         ESTABLISHED     10828
  TCP    127.0.0.1:5123         127.0.0.1:5124         ESTABLISHED     10828
  TCP    127.0.0.1:5124         127.0.0.1:5123         ESTABLISHED     10828
  TCP    127.0.0.1:5125         127.0.0.1:5126         ESTABLISHED     10828
  TCP    127.0.0.1:5126         127.0.0.1:5125         ESTABLISHED     10828
  TCP    127.0.0.1:5127         127.0.0.1:5128         ESTABLISHED     10828
  TCP    127.0.0.1:5128         127.0.0.1:5127         ESTABLISHED     10828
  TCP    127.0.0.1:5129         127.0.0.1:5130         ESTABLISHED     10828
  TCP    127.0.0.1:5130         127.0.0.1:5129         ESTABLISHED     10828
  TCP    127.0.0.1:5131         127.0.0.1:5132         ESTABLISHED     10828
  TCP    127.0.0.1:5132         127.0.0.1:5131         ESTABLISHED     10828
  TCP    127.0.0.1:5133         127.0.0.1:5134         ESTABLISHED     10828
  TCP    127.0.0.1:5134         127.0.0.1:5133         ESTABLISHED     10828
  TCP    127.0.0.1:5144         127.0.0.1:5145         ESTABLISHED     10828
  TCP    127.0.0.1:5145         127.0.0.1:5144         ESTABLISHED     10828
  TCP    127.0.0.1:5146         127.0.0.1:5147         ESTABLISHED     10828
  TCP    127.0.0.1:5147         127.0.0.1:5146         ESTABLISHED     10828
  TCP    127.0.0.1:5148         127.0.0.1:5149         ESTABLISHED     10828
  TCP    127.0.0.1:5149         127.0.0.1:5148         ESTABLISHED     10828
  TCP    127.0.0.1:5150         127.0.0.1:5151         ESTABLISHED     10828
  TCP    127.0.0.1:5151         127.0.0.1:5150         ESTABLISHED     10828
  TCP    127.0.0.1:5152         127.0.0.1:5153         ESTABLISHED     10828
  TCP    127.0.0.1:5153         127.0.0.1:5152         ESTABLISHED     10828
  TCP    127.0.0.1:5154         127.0.0.1:5155         ESTABLISHED     10828
  TCP    127.0.0.1:5155         127.0.0.1:5154         ESTABLISHED     10828
  TCP    127.0.0.1:5156         127.0.0.1:5157         ESTABLISHED     10828
  TCP    127.0.0.1:5157         127.0.0.1:5156         ESTABLISHED     10828
  TCP    127.0.0.1:5158         127.0.0.1:5159         ESTABLISHED     10828
  TCP    127.0.0.1:5159         127.0.0.1:5158         ESTABLISHED     10828
  TCP    127.0.0.1:5160         127.0.0.1:5161         ESTABLISHED     10828
  TCP    127.0.0.1:5161         127.0.0.1:5160         ESTABLISHED     10828
  TCP    127.0.0.1:5162         127.0.0.1:5163         ESTABLISHED     10828
  TCP    127.0.0.1:5163         127.0.0.1:5162         ESTABLISHED     10828
  TCP    127.0.0.1:5164         127.0.0.1:5165         ESTABLISHED     10828
  TCP    127.0.0.1:5165         127.0.0.1:5164         ESTABLISHED     10828
  TCP    127.0.0.1:5166         127.0.0.1:5167         ESTABLISHED     10828
  TCP    127.0.0.1:5167         127.0.0.1:5166         ESTABLISHED     10828
  TCP    127.0.0.1:5168         127.0.0.1:5169         ESTABLISHED     10828
  TCP    127.0.0.1:5169         127.0.0.1:5168         ESTABLISHED     10828
  TCP    127.0.0.1:5170         127.0.0.1:5171         ESTABLISHED     10828
  TCP    127.0.0.1:5171         127.0.0.1:5170         ESTABLISHED     10828
  TCP    127.0.0.1:5172         127.0.0.1:5173         ESTABLISHED     10828
  TCP    127.0.0.1:5173         127.0.0.1:5172         ESTABLISHED     10828
  TCP    127.0.0.1:5174         127.0.0.1:5175         ESTABLISHED     10828
  TCP    127.0.0.1:5175         127.0.0.1:5174         ESTABLISHED     10828
  TCP    127.0.0.1:5178         127.0.0.1:5179         ESTABLISHED     10828
  TCP    127.0.0.1:5179         127.0.0.1:5178         ESTABLISHED     10828
  TCP    127.0.0.1:5180         127.0.0.1:5181         ESTABLISHED     10828
  TCP    127.0.0.1:5181         127.0.0.1:5180         ESTABLISHED     10828
  TCP    127.0.0.1:5182         127.0.0.1:5183         ESTABLISHED     10828
  TCP    127.0.0.1:5183         127.0.0.1:5182         ESTABLISHED     10828
  TCP    127.0.0.1:5184         127.0.0.1:5185         ESTABLISHED     10828
  TCP    127.0.0.1:5185         127.0.0.1:5184         ESTABLISHED     10828
  TCP    127.0.0.1:5186         127.0.0.1:5187         ESTABLISHED     10828
  TCP    127.0.0.1:5187         127.0.0.1:5186         ESTABLISHED     10828
  TCP    127.0.0.1:5188         127.0.0.1:5189         ESTABLISHED     10828
  TCP    127.0.0.1:5189         127.0.0.1:5188         ESTABLISHED     10828
  TCP    127.0.0.1:5190         127.0.0.1:5191         ESTABLISHED     10828
